"filename", "language", "JSON", "HTML", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\package-lock.json", "JSON", 11551, 0, 0, 0, 0, 0, 1, 11552
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\package.json", "JSON", 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\public\index.html", "HTML", 0, 27, 0, 0, 0, 13, 2, 42
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\AccountSettings.js", "JavaScript", 0, 0, 0, 132, 0, 4, 15, 151
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\App.css", "CSS", 0, 0, 45, 0, 0, 1, 10, 56
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\AppRouter.js", "JavaScript", 0, 0, 0, 46, 0, 3, 4, 53
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\EndOfGame.css", "CSS", 0, 0, 55, 0, 0, 2, 9, 66
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\EndOfGame.js", "JavaScript", 0, 0, 0, 118, 0, 6, 10, 134
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\EndOfGameComputer.js", "JavaScript", 0, 0, 0, 40, 0, 0, 3, 43
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\EndOfGameLocalMultiplayer.js", "JavaScript", 0, 0, 0, 41, 0, 0, 3, 44
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\Game.css", "CSS", 0, 0, 72, 0, 0, 1, 11, 84
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\Game.js", "JavaScript", 0, 0, 0, 262, 0, 48, 27, 337
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\GameHistory.js", "JavaScript", 0, 0, 0, 42, 0, 1, 4, 47
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\GameHome.css", "CSS", 0, 0, 83, 0, 0, 0, 15, 98
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\GameHome.js", "JavaScript", 0, 0, 0, 30, 0, 0, 4, 34
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\GameJoin.css", "CSS", 0, 0, 153, 0, 0, 3, 24, 180
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\GameJoin.js", "JavaScript", 0, 0, 0, 219, 0, 20, 31, 270
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\GlobalGame.js", "JavaScript", 0, 0, 0, 112, 0, 10, 19, 141
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\HomeBartop.css", "CSS", 0, 0, 58, 0, 0, 2, 7, 67
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\HomeBartop.js", "JavaScript", 0, 0, 0, 42, 0, 1, 10, 53
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\LocalMultiplayerGame.js", "JavaScript", 0, 0, 0, 212, 0, 17, 26, 255
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\LocalMultiplayerGameGlobal.js", "JavaScript", 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\LocalMultiplayerHome.js", "JavaScript", 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\Login.css", "CSS", 0, 0, 158, 0, 0, 1, 30, 189
"c:\Users\willi\OneDrive\Documents\Projects\DiceRollGame\client\src\Login.js", "JavaScript", 0, 0, 0, 63, 0, 3, 5, 71
